// List Of Arcs									
Arc 	1						   202.28 	 Duree 	    36.41 * 
Arc 	214						   101.38 	 Duree 	    18.25 * 
Arc 	215						    95.77 	 Duree 	    17.24 * 
Arc 	216						    88.00 	 Duree 	    15.84 * 
Arc 	217						   121.16 	 Duree 	    21.81 * 
Arc 	218						    88.00 	 Duree 	    15.84 * 
Arc 	219						   115.66 	 Duree 	    20.82 * 
Arc 	220						   211.28 	 Duree 	    38.03 * 
Arc 	221						   103.77 	 Duree 	    18.68 * 
Arc 	222						   115.66 	 Duree 	    20.82 * 
Arc 	223						   108.05 	 Duree 	    19.45 * 
Arc 	224						   247.91 	 Duree 	    44.62 * 
Arc 	225						   206.20 	 Duree 	    37.12 * 
Arc 	226						   148.72 	 Duree 	    26.77 * 
Arc 	227						   115.07 	 Duree 	    20.71 * 
Arc 	228						   104.34 	 Duree 	    18.78 * 
Arc 	229						   128.37 	 Duree 	    23.11 * 
Arc 	230						   115.07 	 Duree 	    20.71 * 
Arc 	231						    87.94 	 Duree 	    15.83 * 
Arc 	232						   101.11 	 Duree 	    18.20 * 
Arc 	233						   111.55 	 Duree 	    20.08 * 
Arc 	234						   142.10 	 Duree 	    25.58 * 
Arc 	235						    97.91 	 Duree 	    17.62 * 
Arc 	236						    99.15 	 Duree 	    17.85 * 
Arc 	237						   119.34 	 Duree 	    21.48 * 
Arc 	238						   129.45 	 Duree 	    23.30 * 
Arc 	239						    90.92 	 Duree 	    16.37 * 
Arc 	240						   107.12 	 Duree 	    19.28 * 
Arc 	241						   130.21 	 Duree 	    23.44 * 
Arc 	242						   161.14 	 Duree 	    29.01 * 
Arc 	243						   107.12 	 Duree 	    19.28 * 
Arc 	244						   112.15 	 Duree 	    20.19 * 
Arc 	245						   152.38 	 Duree 	    27.43 * 
Arc 	246						    85.01 	 Duree 	    15.30 * 
Arc 	247						   159.55 	 Duree 	    28.72 * 
Arc 	248						    79.63 	 Duree 	    14.33 * 
Arc 	249						   112.15 	 Duree 	    20.19 * 
Arc 	250						   108.25 	 Duree 	    19.48 * 
Arc 	251						   119.34 	 Duree 	    21.48 * 
Arc 	252						    80.57 	 Duree 	    14.50 * 
Arc 	253						   103.81 	 Duree 	    18.69 * 
Arc 	254						   114.45 	 Duree 	    20.60 * 
Arc 	255						    95.77 	 Duree 	    17.24 * 
Arc 	256						   103.81 	 Duree 	    18.69 * 
Arc 	257						   106.13 	 Duree 	    19.10 * 
Arc 	258						   104.34 	 Duree 	    18.78 * 
Arc 	259						    96.74 	 Duree 	    17.41 * 
Arc 	260						   118.85 	 Duree 	    21.39 * 
Arc 	261						    87.94 	 Duree 	    15.83 * 
Arc 	262						    96.74 	 Duree 	    17.41 * 
Arc 	263						    92.89 	 Duree 	    16.72 * 
Arc 	264						    99.46 	 Duree 	    17.90 * 
Arc 	265						   106.68 	 Duree 	    19.20 * 
Arc 	266						   125.28 	 Duree 	    22.55 * 
Arc 	267						   129.45 	 Duree 	    23.30 * 
Arc 	268						   105.06 	 Duree 	    18.91 * 
Arc 	269						   150.80 	 Duree 	    27.14 * 
Arc 	270						   126.08 	 Duree 	    22.69 * 
Arc 	271						    98.40 	 Duree 	    17.71 * 
Arc 	272						   105.06 	 Duree 	    18.91 * 
Arc 	273						   102.68 	 Duree 	    18.48 * 
Arc 	274						   130.21 	 Duree 	    23.44 * 
Arc 	275						    90.02 	 Duree 	    16.20 * 
Arc 	276						    87.77 	 Duree 	    15.80 * 
Arc 	277						    85.01 	 Duree 	    15.30 * 
Arc 	278						   107.84 	 Duree 	    19.41 * 
Arc 	279						   159.55 	 Duree 	    28.72 * 
Arc 	280						   119.34 	 Duree 	    21.48 * 
Arc 	281						   107.84 	 Duree 	    19.41 * 
Arc 	282						   111.50 	 Duree 	    20.07 * 
Arc 	283						    97.85 	 Duree 	    17.61 * 
Arc 	284						   114.45 	 Duree 	    20.60 * 
Arc 	285						   111.50 	 Duree 	    20.07 * 
Arc 	286						   104.52 	 Duree 	    18.81 * 
Arc 	287						   106.13 	 Duree 	    19.10 * 
Arc 	288						   104.52 	 Duree 	    18.81 * 
Arc 	289						   199.00 	 Duree 	    35.82 * 
Arc 	290						   217.26 	 Duree 	    39.11 * 
Arc 	291						   284.82 	 Duree 	    51.27 * 
Arc 	292						   211.28 	 Duree 	    38.03 * 
Arc 	293						   199.00 	 Duree 	    35.82 * 
Arc 	294						   107.24 	 Duree 	    19.30 * 
Arc 	295						   158.15 	 Duree 	    28.47 * 
Arc 	296						   193.86 	 Duree 	    34.90 * 
Arc 	297						   247.91 	 Duree 	    44.62 * 
Arc 	298						    97.70 	 Duree 	    17.59 * 
Arc 	299						   111.10 	 Duree 	    20.00 * 
Arc 	300						   118.85 	 Duree 	    21.39 * 
Arc 	301						    97.70 	 Duree 	    17.59 * 
Arc 	302						   108.16 	 Duree 	    19.47 * 
Arc 	303						   141.77 	 Duree 	    25.52 * 
Arc 	304						   145.20 	 Duree 	    26.14 * 
Arc 	305						   197.30 	 Duree 	    35.51 * 
Arc 	306						   118.82 	 Duree 	    21.39 * 
Arc 	307						   108.16 	 Duree 	    19.47 * 
Arc 	308						   105.43 	 Duree 	    18.98 * 
Arc 	309						   125.28 	 Duree 	    22.55 * 
Arc 	310						   150.80 	 Duree 	    27.14 * 
Arc 	311						   105.43 	 Duree 	    18.98 * 
Arc 	312						   119.22 	 Duree 	    21.46 * 
Arc 	313						   135.54 	 Duree 	    24.40 * 
Arc 	314						   142.04 	 Duree 	    25.57 * 
Arc 	315						   237.66 	 Duree 	    42.78 * 
Arc 	316						   119.22 	 Duree 	    21.46 * 
Arc 	317						   137.75 	 Duree 	    24.79 * 
Arc 	318						   102.68 	 Duree 	    18.48 * 
Arc 	319						    80.90 	 Duree 	    14.56 * 
Arc 	320						   151.92 	 Duree 	    27.34 * 
Arc 	321						   213.21 	 Duree 	    38.38 * 
Arc 	322						    87.77 	 Duree 	    15.80 * 
Arc 	323						   221.64 	 Duree 	    39.90 * 
Arc 	324						   115.80 	 Duree 	    20.84 * 
Arc 	325						   158.15 	 Duree 	    28.47 * 
Arc 	326						   111.10 	 Duree 	    20.00 * 
Arc 	327						   125.80 	 Duree 	    22.64 * 
Arc 	328						    89.59 	 Duree 	    16.13 * 
Arc 	329						   136.72 	 Duree 	    24.61 * 
Arc 	330						   145.20 	 Duree 	    26.14 * 
Arc 	331						   135.54 	 Duree 	    24.40 * 
Arc 	332						   146.49 	 Duree 	    26.37 * 
Arc 	333						   169.56 	 Duree 	    30.52 * 
Arc 	334						   157.01 	 Duree 	    28.26 * 
Arc 	335						   119.36 	 Duree 	    21.49 * 
Arc 	336						    96.01 	 Duree 	    17.28 * 
Arc 	337						   186.26 	 Duree 	    33.53 * 
Arc 	338						    97.61 	 Duree 	    17.57 * 
Arc 	339						   210.40 	 Duree 	    37.87 * 
Arc 	340						   309.76 	 Duree 	    55.76 * 
Arc 	341						   210.40 	 Duree 	    37.87 * 
Arc 	342						   209.62 	 Duree 	    37.73 * 
Arc 	343						   171.05 	 Duree 	    30.79 * 
Arc 	344						   193.86 	 Duree 	    34.90 * 
Arc 	345						   209.62 	 Duree 	    37.73 * 
Arc 	346						   113.99 	 Duree 	    20.52 * 
Arc 	347						    89.59 	 Duree 	    16.13 * 
Arc 	348						    89.67 	 Duree 	    16.14 * 
Arc 	349						   136.72 	 Duree 	    24.61 * 
Arc 	350						   127.81 	 Duree 	    23.01 * 
Arc 	351						    93.38 	 Duree 	    16.81 * 
Arc 	352						   105.63 	 Duree 	    19.01 * 
Arc 	353						    93.38 	 Duree 	    16.81 * 
Arc 	354						   114.60 	 Duree 	    20.63 * 
Arc 	355						   114.49 	 Duree 	    20.61 * 
Arc 	356						   237.66 	 Duree 	    42.78 * 
Arc 	357						   169.56 	 Duree 	    30.52 * 
Arc 	358						   157.01 	 Duree 	    28.26 * 
Arc 	359						   114.60 	 Duree 	    20.63 * 
Arc 	360						   203.57 	 Duree 	    36.64 * 
Arc 	361						   138.60 	 Duree 	    24.95 * 
Arc 	362						    95.34 	 Duree 	    17.16 * 
Arc 	363						   252.60 	 Duree 	    45.47 * 
Arc 	364						   213.21 	 Duree 	    38.38 * 
Arc 	365						   140.71 	 Duree 	    25.33 * 
Arc 	366						   201.70 	 Duree 	    36.31 * 
Arc 	367						   113.99 	 Duree 	    20.52 * 
Arc 	368						   101.04 	 Duree 	    18.19 * 
Arc 	369						    95.79 	 Duree 	    17.24 * 
Arc 	370						   166.18 	 Duree 	    29.91 * 
Arc 	371						   101.04 	 Duree 	    18.19 * 
Arc 	372						   129.85 	 Duree 	    23.37 * 
Arc 	373						   115.18 	 Duree 	    20.73 * 
Arc 	374						   114.49 	 Duree 	    20.61 * 
Arc 	375						   100.02 	 Duree 	    18.00 * 
Arc 	376						   104.92 	 Duree 	    18.89 * 
Arc 	377						   148.49 	 Duree 	    26.73 * 
Arc 	378						   109.18 	 Duree 	    19.65 * 
Arc 	379						    95.34 	 Duree 	    17.16 * 
Arc 	380						   104.92 	 Duree 	    18.89 * 
Arc 	381						   105.04 	 Duree 	    18.91 * 
Arc 	382						   214.74 	 Duree 	    38.65 * 
Arc 	383						   151.77 	 Duree 	    27.32 * 
Arc 	384						   186.26 	 Duree 	    33.53 * 
Arc 	385						   114.80 	 Duree 	    20.66 * 
Arc 	386						   107.72 	 Duree 	    19.39 * 
Arc 	387						   215.68 	 Duree 	    38.82 * 
Arc 	388						   299.85 	 Duree 	    53.97 * 
Arc 	389						   107.72 	 Duree 	    19.39 * 
Arc 	390						    89.34 	 Duree 	    16.08 * 
Arc 	391						   146.70 	 Duree 	    26.41 * 
Arc 	392						    82.64 	 Duree 	    14.88 * 
Arc 	393						   138.00 	 Duree 	    24.84 * 
Arc 	394						   110.31 	 Duree 	    19.86 * 
Arc 	395						    98.12 	 Duree 	    17.66 * 
Arc 	396						   110.31 	 Duree 	    19.86 * 
Arc 	397						   206.20 	 Duree 	    37.12 * 
Arc 	398						   166.69 	 Duree 	    30.01 * 
Arc 	399						   129.85 	 Duree 	    23.37 * 
Arc 	400						   206.20 	 Duree 	    37.12 * 
Arc 	401						   116.60 	 Duree 	    20.99 * 
Arc 	402						    94.92 	 Duree 	    17.09 * 
Arc 	403						   116.60 	 Duree 	    20.99 * 
Arc 	404						    95.69 	 Duree 	    17.22 * 
Arc 	405						   105.84 	 Duree 	    19.05 * 
Arc 	406						   148.49 	 Duree 	    26.73 * 
Arc 	407						    95.69 	 Duree 	    17.22 * 
Arc 	408						   104.05 	 Duree 	    18.73 * 
Arc 	409						   151.93 	 Duree 	    27.35 * 
Arc 	410						   219.51 	 Duree 	    39.51 * 
Arc 	411						   101.22 	 Duree 	    18.22 * 
Arc 	412						   215.28 	 Duree 	    38.75 * 
Arc 	413						   105.04 	 Duree 	    18.91 * 
Arc 	414						   101.22 	 Duree 	    18.22 * 
Arc 	415						   196.63 	 Duree 	    35.39 * 
Arc 	416						   298.08 	 Duree 	    53.65 * 
Arc 	417						   252.60 	 Duree 	    45.47 * 
Arc 	418						   201.70 	 Duree 	    36.31 * 
Arc 	419						   211.39 	 Duree 	    38.05 * 
Arc 	420						   220.40 	 Duree 	    39.67 * 
Arc 	421						    94.13 	 Duree 	    16.94 * 
Arc 	422						   100.24 	 Duree 	    18.04 * 
Arc 	423						   146.70 	 Duree 	    26.41 * 
Arc 	424						   100.24 	 Duree 	    18.04 * 
Arc 	425						   135.77 	 Duree 	    24.44 * 
Arc 	426						    82.64 	 Duree 	    14.88 * 
Arc 	427						   111.02 	 Duree 	    19.98 * 
Arc 	428						    92.28 	 Duree 	    16.61 * 
Arc 	429						   115.14 	 Duree 	    20.73 * 
Arc 	430						   138.00 	 Duree 	    24.84 * 
Arc 	431						    98.12 	 Duree 	    17.66 * 
Arc 	432						   108.65 	 Duree 	    19.56 * 
Arc 	433						   150.57 	 Duree 	    27.10 * 
Arc 	434						   119.04 	 Duree 	    21.43 * 
Arc 	435						   111.12 	 Duree 	    20.00 * 
Arc 	436						   138.11 	 Duree 	    24.86 * 
Arc 	437						    96.83 	 Duree 	    17.43 * 
Arc 	438						    77.36 	 Duree 	    13.92 * 
Arc 	439						   144.96 	 Duree 	    26.09 * 
Arc 	440						    94.92 	 Duree 	    17.09 * 
Arc 	441						    77.36 	 Duree 	    13.92 * 
Arc 	442						   118.17 	 Duree 	    21.27 * 
Arc 	443						   143.50 	 Duree 	    25.83 * 
Arc 	444						   110.92 	 Duree 	    19.97 * 
Arc 	445						   151.93 	 Duree 	    27.35 * 
Arc 	446						   109.24 	 Duree 	    19.66 * 
Arc 	447						   156.35 	 Duree 	    28.14 * 
Arc 	448						   112.22 	 Duree 	    20.20 * 
Arc 	449						   212.00 	 Duree 	    38.16 * 
Arc 	450						   109.52 	 Duree 	    19.71 * 
Arc 	451						   141.52 	 Duree 	    25.47 * 
Arc 	452						   115.14 	 Duree 	    20.73 * 
Arc 	453						   212.00 	 Duree 	    38.16 * 
Arc 	454						   106.19 	 Duree 	    19.12 * 
Arc 	455						    94.05 	 Duree 	    16.93 * 
Arc 	456						   108.65 	 Duree 	    19.56 * 
Arc 	457						   107.49 	 Duree 	    19.35 * 
Arc 	458						   150.57 	 Duree 	    27.10 * 
Arc 	459						    96.83 	 Duree 	    17.43 * 
Arc 	460						   107.49 	 Duree 	    19.35 * 
Arc 	461						   108.16 	 Duree 	    19.47 * 
Arc 	462						   124.49 	 Duree 	    22.41 * 
Arc 	463						   136.49 	 Duree 	    24.57 * 
Arc 	464						   108.16 	 Duree 	    19.47 * 
Arc 	465						   107.11 	 Duree 	    19.28 * 
Arc 	466						    95.34 	 Duree 	    17.16 * 
Arc 	467						   144.96 	 Duree 	    26.09 * 
Arc 	468						   118.17 	 Duree 	    21.27 * 
Arc 	469						   154.45 	 Duree 	    27.80 * 
Arc 	470						   107.11 	 Duree 	    19.28 * 
Arc 	471						   105.94 	 Duree 	    19.07 * 
Arc 	472						    96.90 	 Duree 	    17.44 * 
Arc 	473						   109.24 	 Duree 	    19.66 * 
Arc 	474						   109.61 	 Duree 	    19.73 * 
Arc 	475						   219.51 	 Duree 	    39.51 * 
Arc 	476						   156.35 	 Duree 	    28.14 * 
Arc 	477						   109.61 	 Duree 	    19.73 * 
Arc 	478						    92.52 	 Duree 	    16.65 * 
Arc 	479						   215.28 	 Duree 	    38.75 * 
Arc 	480						    92.52 	 Duree 	    16.65 * 
Arc 	481						   103.64 	 Duree 	    18.65 * 
Arc 	482						    84.24 	 Duree 	    15.16 * 
Arc 	483						   196.63 	 Duree 	    35.39 * 
Arc 	484						   103.64 	 Duree 	    18.65 * 
Arc 	485						   117.80 	 Duree 	    21.20 * 
Arc 	486						   142.13 	 Duree 	    25.58 * 
Arc 	487						   112.20 	 Duree 	    20.20 * 
Arc 	488						   220.40 	 Duree 	    39.67 * 
Arc 	489						   107.15 	 Duree 	    19.29 * 
Arc 	490						   112.13 	 Duree 	    20.18 * 
Arc 	491						   217.56 	 Duree 	    39.16 * 
Arc 	492						    98.41 	 Duree 	    17.71 * 
Arc 	493						    94.05 	 Duree 	    16.93 * 
Arc 	494						   207.19 	 Duree 	    37.29 * 
Arc 	495						   122.77 	 Duree 	    22.10 * 
Arc 	496						   109.94 	 Duree 	    19.79 * 
Arc 	497						   100.65 	 Duree 	    18.12 * 
Arc 	498						   136.49 	 Duree 	    24.57 * 
Arc 	499						    95.34 	 Duree 	    17.16 * 
Arc 	500						   109.94 	 Duree 	    19.79 * 
Arc 	501						   117.77 	 Duree 	    21.20 * 
Arc 	502						    96.90 	 Duree 	    17.44 * 
Arc 	503						   125.37 	 Duree 	    22.57 * 
Arc 	504						   118.72 	 Duree 	    21.37 * 
Arc 	505						    84.24 	 Duree 	    15.16 * 
Arc 	506						   122.46 	 Duree 	    22.04 * 
Arc 	507						   105.19 	 Duree 	    18.93 * 
Arc 	508						   138.64 	 Duree 	    24.96 * 
Arc 	509						    92.44 	 Duree 	    16.64 * 
Arc 	510						   101.08 	 Duree 	    18.19 * 
Arc 	511						   119.42 	 Duree 	    21.50 * 
Arc 	512						   112.13 	 Duree 	    20.18 * 
Arc 	513						   192.25 	 Duree 	    34.61 * 
Arc 	514						   207.06 	 Duree 	    37.27 * 
Arc 	515						   122.77 	 Duree 	    22.10 * 
Arc 	516						   210.02 	 Duree 	    37.80 * 
